hospid,hospitalname,st
55,"Higgins General Hospital","GA"
56,"East Central Regional Hospital - Augusta Campus","GA"
57,"Placentia-Linda Hospital","CA"
58,"Navajo Health Foundation/Sage Memorial Hospital","AZ"
59,"Advance Care Hospital of Hot Springs","AR"
60,"Calais Regional Hospital","ME"
61,"Bellin Hospital","WI"
62,"University General Hospital","TX"
63,"Deaconess Gateway Hospital","IN"
64,"Healdton Mercy Hospital","OK"
65,"Advocate ;od Samaritan Hospital","IL"
66,"Lana'i Community Hospital","HI"
67,"Mary Breckenridge Hospital","KY"
68,"Corpus Christi Specialty Hospital","TX"
69,"Corcoran District Hospital","CA"
70,"Cornerstone Hospital of Austin","TX"
71,"Arkansas Children's Hospital","AR"
72,"Saint John's Hospital","MO"
73,"Kindred Hospital - La Mirada","CA"
74,"Paul Oliver Memorial Hospital","MI"
75,"Community Memorial Hospital","IA"
76,"Grady General Hospital","GA"
77,"Transylvania Community Hospital","NC"
78,"Saint Mary's Hospital","IL"
79,"Blessing Hospital","IL"
80,"West Kendall Baptist Hospital","FL"
81,"Cottage Grove Community Hospital","OR"
82,"Wetzel County Hospital","WV"
83,"Van Wert County Hospital","OH"
84,"The Hospital of Central Connecticut at New Britain General","CT"
85,"Sierra Nevada Memorial Hospital","CA"
86,"Little Company of Mary Hospital","IL"
87,"Patrick B. Harris Psychiatric Hospital","SC"
88,"Presbyterian Intercommunity Hospital","CA"
89,"Cumberland Memorial Hospital","WI"
90,"Physicians' Specialty Hospital","AR"
91,"Mont;mery Hospital Medical Center","PA"
92,"Barnesville Hospital","OH"
93,"Clarks Summit State Hospital","PA"
94,"Pioneer Memorial Hospital & Health Services","SD"
95,"Red Bay Hospital","AL"
96,"CHRISTUS Spohn Hospital Alice","TX"
97,"Huggins Hospital","NH"
98,"Central DuPage Hospital","IL"
99,"Hospital of Saint Raphael","CT"
100,"Saint Vincent Hospital","WI"
101,"San Juan Regional Rehabilitation Hospital","NM"
102,"Union Memorial Hospital","MD"
103,"Childrens Hospital Los Angeles","CA"
104,"Lonesome Pine Hospital","VA"
105,"Aultman Orrville Hospital","OH"
106,"Arrowhead Hospital","AZ"
107,"Wheeling Hospital","WV"
108,"Noble Hospital","MA"
109,"Westbury Community Hospital","TX"
110,"HealthSouth Chesapeake Rehabilitation Hospital","MD"
111,"Edwards County Hospital and Healthcare Center","KS"
112,"Alice Peck Day Memorial Hospital","NH"
113,"Lakeway Regional Hospital","TN"
114,"Cape Fear Hospital","NC"
115,"Scotland Memorial Hospital","NC"
116,"Texas Health Harris Methodist Hospital Stephenville","TX"
117,"HealthSouth Rehabilitation Hospital of Spring Hill","FL"
118,"Clark Memorial Hospital","IN"
119,"Saint John's Mercy Hospital","MO"
120,"Durham Regional Hospital","NC"
121,"Lakeside Hospital","NE"
122,"Women & Infants Hospital","RI"
123,"The Hospital at Craig Ranch","TX"
124,"Rehabilitation Hospital of Southern New Mexico","NM"
125,"Doctors Hospital","KS"
126,"Kindred Hospital - Bay Area Saint Petersburg","FL"
127,"Select Specialty Hospital - South Dallas","TX"
128,"ICON Hospital","TX"
129,"Porter Portage Hospital","IN"
130,"Jackson County Memorial Hospital","OK"
131,"Fillmore County Hospital","NE"
132,"Summa Rehabilitation Hospital","OH"
133,"Grady Memorial Hospital","OK"
134,"Mountain View Regional Hospital","WY"
135,"Latrobe Hospital","PA"
136,"Lakeland Regional Hospital","MO"
137,"The Memorial Hospital","CO"
138,"Vibra Hospital of Northwestern Indiana","IN"
139,"Saint John's Hospital - Cassville","MO"
140,"Select Specialty Hospital - Lexington","KY"
141,"Edith Nourse Rogers Memorial Veterans Hospital","MA"
142,"Sutter Tracy Community Hospital","CA"
143,"Herrick Hospital","MI"
144,"University Hospitals Conneaut Medical Center","OH"
145,"Northeast Montana Healthcare Poplar Hospital","MT"
146,"Bryan W. Whitfield Memorial Hospital","AL"
147,"Columbia Memorial Hospital","OR"
148,"Memorial Hermann The Woodlands Hospital","TX"
149,"Coordinated Health Hospital of Allentown","PA"
150,"Naval Hospital Lemoore","CA"
151,"Jefferson Memorial Hospital","TN"
152,"Atmore Community Hospital","AL"
153,"Pembina County Memorial Hospital","ND"
154,"The Mississippi Hospital for Restorative Care","MS"
155,"Swift County-Benson Hospital","MN"
156,"Lawrence General Hospital","MA"
157,"Centegra Specialty Hospital - Woodstock","IL"
158,"Mercy Hospital of Scott County","AR"
159,"NCH North Naples Hospital","FL"
160,"Saint David's Rehabilitation Hospital","TX"
161,"Lakeland Community Hospital","MI"
162,"Robinson Memorial Hospital","OH"
163,"Regency Hospital Cleveland West","OH"
164,"Shriners Hospitals for Children - Saint Louis","MO"
165,"Memorial Hospital","FL"
166,"Campbell County Memorial Hospital","WY"
167,"Caldwell County Hospital","KY"
168,"Biggs-Gridley Memorial Hospital","CA"
169,"The Brook Hospital - Dupont","KY"
170,"Gibson General Hospital","IN"
171,"Select Specialty Hospital - Milwaukee (Saint Luke's Campus)","WI"
172,"Alameda Hospital","CA"
173,"Promise Hospital of Miss Lou","LA"
174,"Memorial Hospital","OH"
175,"Monongahela Valley Hospital","PA"
176,";od Shepherd Rehabilitation Hospital Pediatric Unit","PA"
177,"Sequoia Hospital","CA"
178,"Select Specialty Hospital - Grosse Pointe","MI"
179,"Norwalk Hospital","CT"
180,"Margaretville Memorial Hospital","NY"
181,"Pulaski Memorial Hospital","IN"
182,"Bryan Hospital","OH"
183,"Legacy Salmon Creek Hospital","WA"
184,"Arizona Orthopedic Surgical Hospital","AZ"
185,"HealthSouth Rehabilitation Hospital of Alexandria","LA"
186,"HealthSouth Reading Rehabilitation Hospital","PA"
187,"Central Texas Hospital","TX"
188,"Lauderdale Community Hospital","TN"
189,"Lifecare Hospitals of Shreveport - Main Campus","LA"
190,"Specialty Hospital of Washington - Hadley","DC"
191,";nzales Memorial Hospital","TX"
192,"Newport Hospital","RI"
193,"Kremmling Memorial Hospital District","CO"
194,"HealthSouth Sunrise Rehabilitation Hospital","FL"
195,"Lenox Hill Hospital","NY"
196,"North Valley Hospital","MT"
197,"Dosher Memorial Hospital","NC"
198,"Helen Keller Hospital","AL"
199,"Kindred Hospital - San Antonio","TX"
200,"Elmhurst Memorial Hospital","IL"
201,"Kindred Hospital - Seattle -First Hill","WA"
202,"Kindred Hospital - Tucson","AZ"
203,"Saint Anthony Regional Hospital","IA"
204,"South Texas Rehabilitation Hospital","TX"
205,"McKay-Dee Hospital Center","UT"
206,"Memorial Hospital","MS"
207,"Laguna Honda Hospital","CA"
208,"Wills Eye Hospital","PA"
209,"Dauterive Hospital","LA"
210,"Clifton T. Perkins Hospital Center","MD"
211,"Advance Care Hospital of Fort Smith","AR"
212,"Flambeau Hospital","WI"
213,"Sparta Community Hospital","IL"
214,"Animas Surgical Hospital","CO"
215,"Opelousas General Hospital - South Campus","LA"
216,"Graham Hospital","IL"
217,"Rush Memorial Hospital","IN"
218,"KidsPeace Children's Hospital - KidsPeace Orchard Hills Campus","PA"
219,"Pennsylvania Hospital","PA"
220,"Ochsner Extended Care Hospital of Kenner","LA"
221,"Champlain Valley Physicians Hospital Medical Center","NY"
222,"Saint Mary's Hospital","WI"
223,"Huntington Hospital","CA"
224,"Cardinal Hill Specialty Hospital","KY"
225,"Select Specialty Hospital - Sioux Falls","SD"
226,"Barnes-Jewish Saint Peters Hospital","MO"
227,"Park Nicollet Methodist Hospital","MN"
228,"Screven County Hospital","GA"
229,"Passavant Area Hospital","IL"
230,"Hospital San Agustin","PR"
231,"Grande Ronde Hospital","OR"
232,"Our Lady of Victory Hospital","WI"
233,"Sparrow Clinton Hospital","MI"
234,"Providence Centralia Hospital","WA"
235,"Laurel Heights Hospital","GA"
236,"Regency Hospital of Hattiesburg","MS"
237,"Laird Hospital","MS"
238,"Summa Barberton Hospital","OH"
239,"Ocean Springs Hospital","MS"
240,"Phoebe Putney Memorial Hospital","GA"
241,"Lehigh Valley Hospital - Cedar Crest","PA"
242,"Bourbon Community Hospital","KY"
243,"Ohio State University Harding Hospital","OH"
244,"Duke Raleigh Hospital","NC"
245,"New York Methodist Hospital","NY"
246,"VacaValley Hospital","CA"
247,"Indiana University Health La Porte Hospital","IN"
248,"HealthSouth Rehabilitation Hospital of Mechanicsburg","PA"
249,"Harlem Hospital Center","NY"
250,"Pullman Regional Hospital","WA"
251,"Franklin Square Hospital Center","MD"
252,"Hayward Area Memorial Hospital","WI"
253,"Christ Hospital","NJ"
254,"Cornerstone Hospital of West Monroe","LA"
255,"Saint Anthony Hospital","OR"
256,"Illini Community Hospital","IL"
257,"Sunnyview Rehabilitation Hospital","NY"
258,"Beaver Dam Community Hospital","WI"
259,"Doctors Hospital of Tattnall","GA"
260,"Baylor Specialty Hospital - Dallas","TX"
261,"Rochelle Community Hospital","IL"
262,"Midwest Surgical Hospital","NE"
263,"Kent Hospital","RI"
264,"Banner Behavioral Health Hospital - Scottsdale","AZ"
265,"Mayo Clinic Hospital","AZ"
266,"Kindred Hospital - The Palm Beaches","FL"
267,"Bennett County Hospital","SD"
268,"Ouachita Community Hospital","LA"
269,"Coney Island Hospital","NY"
270,"Adams Memorial Hospital","IN"
271,"Children's Hospitals and Clinics of Minnesota - Minneapolis","MN"
272,"Skagit Valley Hospital","WA"
273,"Memorial Hospital of Martinsville and Henry County","VA"
274,"Saint Joseph's Hospital","GA"
275,"Union Hospital","OH"
276,"Easton Hospital","PA"
277,"Sutter Amador Hospital","CA"
278,"Florida Hospital Pepin Heart Institute","FL"
279,"Oakwood Heritage Hospital","MI"
280,"Mercy Hospital","ME"
281,"Tuality Community Hospital","OR"
282,"Saratoga Care Hospital","NY"
283,"Marquette General Hospital","MI"
284,"West Calcasieu Cameron Hospital","LA"
285,"Central Florida Regional Hospital","FL"
286,"CHRISTUS Saint Patrick Hospital","LA"
287,"Saint Louise Regional Hospital","CA"
288,"Saint Joseph Hospital","KY"
289,"Barnes-Jewish Hospital","MO"
290,"Valley Presbyterian Hospital","CA"
291,"Regional Hospital of Jackson","TN"
292,"RML Specialty Hospital","IL"
293,"Community Hospital North","IN"
294,"Valley Hospital Phoenix","AZ"
295,"Coler-;ldwater Specialty Hospital & Nursing Facility - Coler Campus","NY"
296,"Select Specialty Hospital - Orlando","FL"
297,"Saint John's Episcopal Hospital","NY"
298,"Chatham Hospital","NC"
299,"Hospital of the University of Pennsylvania","PA"
300,"NEA Baptist Memorial Hospital","AR"
301,"Florence Hospital at Anthem","AZ"
302,"Abington Memorial Hospital","PA"
303,"Alhambra Hospital Medical Center","CA"
304,"Texas Specialty Hospital at Wichita Falls","TX"
305,"Down East Community Hospital","ME"
306,"Wallowa Memorial Hospital","OR"
307,"Lemuel Shattuck Hospital","MA"
308,"Monroe County Hospital","AL"
309,"Kindred Hospital - Westminster","CA"
310,"Metropolitan Methodist Hospital","TX"
311,"Owatonna Hospital","MN"
312,"Phillips County Hospital","MT"
313,";odall-Witcher Hospital","TX"
314,"Northwest Texas Rehabilitation Hospital","TX"
315,"Saint Joseph's Hospital","WI"
316,"Children's Hospital","AL"
317,"Vibra Hospital of Fort Wayne","IN"
318,"DMC Children's Hospital of Michigan","MI"
319,"Columbus Hospital LTACH","NJ"
320,"Weiss Memorial Hospital","IL"
321,"Franciscan Hospital for Children","MA"
322,"Anderson Hospital","IL"
323,"Valley County Hospital","NE"
324,"Cobleskill Regional Hospital","NY"
325,"Sinai Children's Hospital","IL"
326,"Bath Community Hospital","VA"
327,"New York Community Hospital","NY"
328,"Fairview Hospital","MA"
329,"Loma Linda University Heart & Surgical Hospital","CA"
330,"Baylor Orthopedic and Spine Hospital at Arlington","TX"
331,"North Greenville Hospital","SC"
332,"Pioneer Community Hospital of Aberdeen","MS"
333,"Garden Grove Hospital and Medical Center","CA"
334,"Mercy Walworth Hospital and Medical Center","WI"
335,"Saint Catherine's West Rehabilitation Hospital","FL"
336,"Los Angeles Community Hospital","CA"
337,"Parkway Regional Hospital","KY"
338,"Woodward Regional Hospital","OK"
339,"Holy Cross Hospital","FL"
340,"LifeCare Hospitals of Pittsburgh - Monroeville Campus","PA"
341,"HealthSouth Rehabilitation Hospital of North Alabama","AL"
342,"Stevens County Hospital","KS"
343,"Hudson Valley Hospital Center","NY"
344,"Roger Mills County Memorial Hospital","OK"
345,"Charleston Area Medical Center General Hospital","WV"
346,"Lakeview Hospital","MN"
347,"Western Massachusetts Hospital","MA"
348,"Sutter Memorial Hospital","CA"
349,"Blanchard Valley Hospital","OH"
350,"Dr. Andres Grillasca Oncallogy Hospital","PR"
351,"Unity Hospital","MN"
352,"Holtz Children's Hospital","FL"
353,"Washington State Penitentiary Hospital","WA"
354,"Jeanes Hospital","PA"
355,"Landmark Hospital of Athens","GA"
356,"Fairmont Hospital","CA"
357,"HealthSouth Sea Pines Rehabilitation Hospital","FL"
358,"Craig General Hospital","OK"
359,"Lifecare Hospitals of South Texas - McAllen Campus North","TX"
360,"Hill Country Memorial Hospital","TX"
361,"Keller Army Community Hospital","NY"
362,"Cache Valley Specialty Hospital","UT"
363,"Asheville Specialty Hospital","NC"
364,"Wagner Community Memorial Hospital Avera","SD"
365,"The Women's Hospital of Greensboro","NC"
366,"Northern Hospital of Surry County","NC"
367,"Pioneer Community Hospital of Newton","MS"
368,"Northside Hospital - Forsyth","GA"
369,"Jewish Hospital","KY"
370,"Navarro Regional Hospital","TX"
371,"Kindred Hospital - Chica; (Northlake Campus)","IL"
372,"Brooksville Regional Hospital","FL"
373,"Doctors Hospital of Augusta","GA"
374,"Sitka Community Hospital","AK"
375,"Solara Hospital Muskogee","OK"
376,"Legacy Meridian Park Hospital","OR"
377,"Silverton Hospital","OR"
378,"Carson City Hospital","MI"
379,"Valley Hospital Medical Center","NV"
380,"Utah Valley Specialty Hospital","UT"
381,"Memorial Hospital","IN"
382,"Aultman Hospital","OH"
383,"Saint Luke's Hospital","MN"
384,"Abrom Kaplan Memorial Hospital","LA"
385,"Horton Community Hospital","KS"
386,"Florida Hospital Memorial Medical Center","FL"
387,"Children's Specialized Hospital Mountainside","NJ"
388,"Palm Bay Community Hospital","FL"
389,"G. Werber Bryan Psychiatric Hospital","SC"
390,"Acuity Specialty Hospital of New Jersey","NJ"
391,"Wahiawa General Hospital","HI"
392,"Muskogee Community Hospital","OK"
393,"McCune-Brooks Regional Hospital","MO"
394,"Saint Andrews Hospital and Healthcare Center","ME"
395,"HealthSouth Rehabilitation Hospital of Fort Worth","TX"
396,"Montefiore Medical Center - Moses Division Hospital","NY"
397,"Gibson Area Hospital & Health Services","IL"
398,"Kingman Community Hospital","KS"
399,"Rockford Memorial Hospital","IL"
400,"Huntington Hospital","NY"
401,"District One Hospital","MN"
402,"LifeCare Hospitals of Shreveport - North Campus","LA"
403,"Mammoth Hospital","CA"
404,"Phoenix Baptist Hospital","AZ"
405,"Fairbanks Memorial Hospital & Denali Center","AK"
406,"Bunkie General Hospital","LA"
407,"McCamey County Hospital District","TX"
408,"Joint Township District Memorial Hospital","OH"
409,"Northern Westchester Hospital","NY"
410,"Highland Ridge Hospital","UT"
411,"Meade District Hospital","KS"
412,"North Big Horn Hospital","WY"
413,"Carilion Tazewell Community Hospital","VA"
414,"Scott & White Hospital","TX"
415,"College Hospital Costa Mesa","CA"
416,"Pomerene Hospital","OH"
417,"Hansford County Hospital District","TX"
418,"Haskell Memorial Hospital","TX"
419,"Memorial Hospital of Carbondale","IL"
420,"Manhattan Eye, Ear & Throat Hospital","NY"
421,"CHRISTUS Santa Rosa Hospital - Medical Center","TX"
422,"Oceans Behavioral Hospital - Greater New Orleans","LA"
423,"Edward Hines, Jr. VA Hospital","IL"
424,"Louisiana Extended Care Hospital of Lafayette","LA"
425,"St. Luke's Sugar Land Hospital","TX"
426,"Eagle Butte Hospital","SD"
427,"University Hospitals Rainbow Babies & Children's Hospital","OH"
428,"Jenkins County Hospital","GA"
429,"Beaufort Memorial Hospital","SC"
430,"Memorial North Park Hospital","TN"
431,"The Hospital for Extended Recovery","VA"
432,"Marlette Regional Hospital","MI"
433,"Central Carolina Hospital","NC"
434,"Humboldt General Hospital","TN"
435,"Person Memorial Hospital","NC"
436,"Kindred Hospital - Pittsburgh - North Shore","PA"
437,"The Outer Banks Hospital","NC"
438,"Kindred Hospital - Tomball","TX"
439,"Big Spring State Hospital","TX"
440,"Allied Rehab Hospital","PA"
441,"Lane County Hospital","KS"
442,"Kindred Hospital - El Paso","TX"
443,"CHRISTUS Santa Rosa Hospital - New Braunfels","TX"
444,"Jeff Davis Hospital","GA"
445,"Bay Park Hospital","OH"
446,"South Seminole Hospital","FL"
447,"Bladen County Hospital","NC"
448,"The Brook Hospital - KMI","KY"
449,"Beaver County Memorial Hospital","OK"
450,"Mercy Fitzgerald Hospital","PA"
451,"Texas Health Presbyterian Hospital Flower Mound","TX"
452,"Bluffton Hospital","OH"
453,"Unity Medical and Surgical Hospital","IN"
454,"Jameson Hospital - North Campus","PA"
455,"Whitfield Medical Surgical Hospital","MS"
456,"Braintree Rehabilitation Hospital","MA"
457,"Oakland Mercy Hospital","NE"
458,"San Antonio Community Hospital","CA"
459,"Southside Hospital","NY"
460,"Defiance Regional Hospital","OH"
461,"Cameron Memorial Community Hospital","IN"
462,"Anderson County Hospital","KS"
463,"Saint Clare's Hospital - Sussex","NJ"
464,"Memorial Hospital","IL"
465,"Baptist Hospital","FL"
466,"Martha's Vineyard Hospital","MA"
467,"Shriners Hospitals for Children - Chica;","IL"
468,"Mid America Rehabilitation Hospital","KS"
469,"Women's and Children's Hospital","LA"
470,"HealthAlliance Hospital - Burbank Campus","MA"
471,"Mercy Hospital of Buffalo","NY"
472,"Brentwood Hospital","LA"
473,"Flint River Community Hospital","GA"
474,"Children's Specialized Hospital Toms River","NJ"
475,"Artesia General Hospital","NM"
476,"Kindred Hospital - Bay Area","TX"
477,"Staten Island University Hospital - North Site","NY"
478,"Select Specialty Hospital - Northwest Detroit","MI"
479,"Select Specialty Hospital - Evansville","IN"
480,"Woods Memorial Hospital","TN"
481,"Dr. P. Phillips Hospital","FL"
482,"Aurora Chica; Lakeshore Hospital","IL"
483,"Noland Hospital Mont;mery","AL"
484,"The Memorial Hospital of Salem County","NJ"
485,"Santa Monica - University of California Los Angeles Medical Center and Orthopaedic Hospital","CA"
486,"The Memorial Hospital at Easton","MD"
487,"MMO Greenbrier Hospital","LA"
488,"Behavioral Hospital of Southeast Louisiana","LA"
489,"The Bellevue Hospital","OH"
490,"Mount Auburn Hospital","MA"
491,"UVA-HealthSouth Rehabilitation Hospital","VA"
492,"CHRISTUS Dubuis Hospital of Beaumont","TX"
493,"InterMedical Hospital Of South Carolina","SC"
494,"Berwick Hospital Center","PA"
495,"Methodist Extended Care Hospital","TN"
496,"Inova Alexandria Hospital","VA"
497,"Mendocino Coast District Hospital","CA"
498,"Hillside Hospital","TN"
499,"Memorial Hospital and Physician Group","OK"
500,"Methodist North Hospital","TN"
501,"Central Arkansas Veterans Healthcare System - John L. McClellan Memorial Veterans Hospital","AR"
502,"Calcasieu Oaks Psychiatric Hospital","LA"
503,"North Hawaii Community Hospital","HI"
504,"Saint Joseph's Hospital","WI"
505,"Community Hospital of Bremen","IN"
506,"Door County Memorial Hospital","WI"
507,"Sentara Norfolk General Hospital","VA"
508,"Northeast Rehabilitation Hospital at Southern New Hampshire Medical Center","NH"
509,"Vibra Specialty Hospital Dallas","TX"
510,"Hillcrest Hospital Claremore","OK"
511,"Select Specialty Hospital - Laurel Highlands","PA"
512,"Indiana University Health Bloomington Hospital","IN"
513,"Norton Community Hospital","VA"
514,"Paynesville Area Hospital","MN"
515,"Specialty Hospital of Mid-America","KS"
516,"Kindred Hospital - Victoria","TX"
517,"Timpano;s Regional Hospital","UT"
518,"FirstHealth Moore Regional Hospital","NC"
519,"Milbank Area Hospital Avera","SD"
520,"Covington County Hospital","MS"
521,"Mountains Community Hospital","CA"
522,"Community Behavioral Health Hospital of Saint Peter","MN"
523,"Ballinger Memorial Hospital","TX"
524,"Tempe Saint Luke's Hospital","AZ"
525,"Niswonger Children's Hospital","TN"
526,"Saint Mary's of Michigan - Standish Hospital","MI"
527,"Nason Hospital","PA"
528,"Select Specialty Hospital - Downriver","MI"
529,"Bradley Hospital","RI"
530,"The Western Pennsylvania Hospital","PA"
531,"Floyd Valley Hospital","IA"
532,"Orthopaedic Hospital","CA"
533,"Community Hospital of Long Beach","CA"
534,"Comanche County Hospital","KS"
535,"Children's Care Hospital & School","SD"
536,"Dominion Hospital","VA"
537,"River Oaks Hospital","LA"
538,"The Johns Hopkins Hospital","MD"
539,"Greene County Hospital","MS"
540,"Saint Catherine Hospital","KS"
541,"Rusk County Memorial Hospital and Nursing Home","WI"
542,"Providence Hospital Northeast","SC"
543,"Community Memorial Hospital - Sumner","IA"
544,"Trenton Psychiatric Hospital","NJ"
545,"Lillian M. Hudspeth Memorial Hospital","TX"
546,"Avista Adventist Hospital","CO"
547,"Dundy County Hospital","NE"
548,"Select Specialty Hospital - Beech Grove","IN"
549,"Brooke Glen Behavioral Hospital","PA"
550,"HealthSouth Southern Hills Rehabilitation Hospital","WV"
551,"Paulding County Hospital","OH"
552,"Samaritan Hospital","NY"
553,"Saint Charles Specialty Rehabilitation Hospital","LA"
554,"Saint Joseph's Wayne Hospital","NJ"
555,"Western State Hospital","WA"
556,"Texas Children's Hospital","TX"
557,"Pacifica Hospital of the Valley","CA"
558,"Dupont Hospital","IN"
559,"HealthSouth Cane Creek Rehabilitation Hospital","TN"
560,"University Hospital of Brooklyn","NY"
561,"Wing Memorial Hospital","MA"
562,"Pike County Memorial Hospital","MO"
563,"Cook County North Shore Hospital","MN"
564,"Kindred Hospital - Santa Ana","CA"
565,"Ojai Valley Community Hospital","CA"
566,"Avera De Smet Memorial Hospital","SD"
567,"Select Specialty Hospital - Gulf Coast","MS"
568,"Paoli Hospital","PA"
569,"Saint Patrick's Behavioral Health Hospital","LA"
570,"Western Baptist Hospital","KY"
571,"Wishard Memorial Hospital","IN"
572,"River Oaks Hospital","MS"
573,"Kindred Hospital - Detroit","MI"
574,"Indiana University Health North Hospital","IN"
575,"CHRISTUS Santa Rosa Hospital - City Centre","TX"
576,"Robert Wood Johnson University Hospital","NJ"
577,"Bob Wilson Memorial Grant County Hospital","KS"
578,"Mercy Hospitals of Bakersfirled - Southwest Campus","CA"
579,"Western State Hospital","VA"
580,"Palmerton Hospital","PA"
581,"Saint Anthony Community Hospital","NY"
582,"Memorial Hospital","TX"
583,"Fayette County Hospital and Long Term Care","IL"
584,"Regency Hospital Cleveland East","OH"
585,"Signature Healthcare Brockton Hospital","MA"
586,"San Francisco General Hospital","CA"
587,"Fort Yuma Indian Hospital","AZ"
588,"Hospital Metropolitano Dr. Tito Mattei","PR"
589,"Saint Helena Parish Hospital","LA"
590,"Warm Springs Specialty Hospital at Luling","TX"
591,"New Hanover Regional Medical Center Behavioral Health Hospital","NC"
592,"Highland District Hospital","OH"
593,"Methodist Hospital of Chica;","IL"
594,"Hospital Episcopal Cristo Redentor","PR"
595,"Witham Memorial Hospital","IN"
596,"Armstrong County Memorial Hospital","PA"
597,"Kindred Hospital - Ontario","CA"
598,"Saint Barnabas Hospital","NY"
599,"North Hills Hospital","TX"
600,"Morris County Hospital","KS"
601,"Anchor Hospital","GA"
602,"Wesley Rehabilitation Hospital","KS"
603,"Indiana University Health Blackford Hospital","IN"
604,"Incline Village Community Hospital","NV"
605,"Kindred Hospital - The Heights","TX"
606,"Levi Hospital","AR"
607,"Children's Hospital","LA"
608,"Logan Regional Hospital","UT"
609,"New Braunfels Regional Rehabilitation Hospital","TX"
610,"Grand View Hospital","PA"
611,"Cannon Memorial Hospital","SC"
612,"Mercy Memorial Hospital","MI"
613,"Sentara Potomac Hospital","VA"
614,"Dayton Heart and Vascular Hospital","OH"
615,"Doctors Hospital of Laredo","TX"
616,"Warren General Hospital","PA"
617,";od Samaritan Hospital","NE"
618,"Baum Harmon Mercy Hospital","IA"
619,"CHRISTUS Spohn Hospital Beeville","TX"
620,"Pioneers Memorial Hospital","CA"
621,"Henry Ford Wyandotte Hospital","MI"
622,"Kindred Hospital Arizona - Phoenix Northwest","AZ"
623,"Methodist Hospital","CA"
624,"Advocate South Suburban Hospital","IL"
625,"Whidbey General Hospital","WA"
626,"Staten Island University Hospital - South Site","NY"
627,"Cheyenne County Hospital","KS"
628,"Memorial Regional Hospital","FL"
629,"The Physicians Hospital in Anadarko","OK"
630,"Greenbriar Rehabilitation Hospital","OH"
631,"Riverside Tappahannock Hospital","VA"
632,"Saint Joseph's Hospital","IL"
633,"Highlands-Cashiers Hospital","NC"
634,"Nash General Hospital","NC"
635,"HealthSouth Rehabilitation Hospital of Altoona","PA"
636,"Via Christi Hospital on Harry","KS"
637,"Carilion Franklin Memorial Hospital","VA"
638,"San Antonio State Hospital","TX"
639,"Sacred Heart Hospital on the Emerald Coast","FL"
640,"Clinton Hospital","MA"
641,"Altoona Hospital - 7th Avenue Campus","PA"
642,"Kindred Hospital - Central Dakotas","ND"
643,"Kindred Hospital - New Orleans","LA"
644,"Thorek Memorial Hospital","IL"
645,"Lovelace Rehabilitation Hospital","NM"
646,"Saint Mary's Hospital","NY"
647,"Dayton General Hospital","WA"
648,"Cornerstone Hospital of Houston - Bellaire","TX"
649,"RiverView Hospital","MN"
650,"Zuni Hospital","NM"
651,"Sentara CarePlex Hospital","VA"
652,"Midlands Hospital","NE"
653,"Hawarden Community Hospital","IA"
654,"Sturdy Memorial Hospital","MA"
655,"Arroyo Grande Community Hospital","CA"
